q_ey,q_epsi,q_r,R,Rd,rmse,max,mean_delta,score
14,5,2,0.06,1.5,0.028301017742442768,0.23750000000000002,0.0015534282260654157,0.14736170338765586
14,5,2,0.06,2.0,0.028301494261182204,0.23750000000000002,0.0015534757529390996,0.14736218941177004
14,5,2,0.08,1.5,0.028302126515935624,0.23750000000000002,0.0015533483971544354,0.14736279619536652
14,5,2,0.06,3.0,0.028302441515081846,0.23750000000000002,0.0015535723335738372,0.1473631559817966
14,5,2,0.08,2.0,0.02830259937314014,0.23750000000000002,0.0015533958383254184,0.14736327854080522
14,5,2,0.1,1.5,0.028303235028581977,0.23750000000000002,0.0015532685706070024,0.14736388874270337
14,5,2,0.08,3.0,0.028303539524599276,0.23750000000000002,0.0015534922544327085,0.14736423797548584
14,5,2,0.1,2.0,0.028303704227059953,0.23750000000000002,0.0015533159262285517,0.14736436741230569
14,5,2,0.1,3.0,0.028304637281364252,0.23750000000000002,0.0015534121780992004,0.1473653197169841
14,6,2,0.06,1.5,0.028309238875070405,0.23750000000000002,0.0015505612777552804,0.14736935113062147
14,6,2,0.06,2.0,0.028309720498651714,0.23750000000000002,0.00155061055818048,0.14736984261028782
14,6,2,0.08,1.5,0.028310344914944927,0.23750000000000002,0.0015504821268192105,0.14737044134030877
14,6,2,0.06,3.0,0.028310676569080068,0.23750000000000002,0.0015507105419995657,0.14737081867747998
14,6,2,0.08,2.0,0.028310822882580085,0.23750000000000002,0.0015505313214043228,0.14737092914686095
14,6,2,0.1,1.5,0.02831145069508466,0.23750000000000002,0.0015504029782069063,0.14737153129072605
14,6,2,0.08,3.0,0.028311771862354614,0.23750000000000002,0.0015506311404542663,0.14737189809044546
14,6,2,0.1,2.0,0.02831192500957884,0.23750000000000002,0.0015504520871043154,0.1473720154269997
14,6,2,0.1,3.0,0.02831286690397825,0.23750000000000002,0.0015505517416741933,0.1473729772523131
14,7,2,0.06,1.5,0.028317529730911315,0.23750000000000002,0.0015477204697823394,0.1473770738248678
14,7,2,0.06,2.0,0.028318016466941143,0.23750000000000002,0.001547771478262797,0.1473775707625937
14,7,2,0.08,1.5,0.028318633065393863,0.23750000000000002,0.0015476419852743612,0.14737816146244873
14,7,2,0.06,3.0,0.028318981376994744,0.23750000000000002,0.0015478748159648502,0.14737855634018773
14,7,2,0.08,2.0,0.028319116150919622,0.23750000000000002,0.0015476929077614821,0.14737865473247194
14,7,2,0.1,1.5,0.02831973614123525,0.23750000000000002,0.001547563503049827,0.14737924884184522
14,7,2,0.08,3.0,0.0283200739818132,0.23750000000000002,0.0015477960804210788,0.14737963319789743
14,7,2,0.1,2.0,0.02832021557905901,0.23750000000000002,0.001547614339695153,0.14737973844699806
14,7,2,0.1,3.0,0.028321166336064536,0.23750000000000002,0.001547717347599732,0.1473807098055845
12,5,2,0.06,3.0,0.028871816677638638,0.23750000000000002,0.001516129526360038,0.14792504258291067
12,5,2,0.08,3.0,0.02887294852808316,0.23750000000000002,0.0015160487361019174,0.14792615827530356
12,5,2,0.1,3.0,0.028874080109672157,0.23750000000000002,0.0015159679521853842,0.14792727370010922
12,5,2,0.06,2.0,0.028874976135365462,0.23750000000000002,0.001516105976970407,0.14792819733075954
12,5,2,0.08,2.0,0.02887611435266301,0.23750000000000002,0.0015160252386679485,0.1479293194003966
12,5,2,0.06,1.5,0.02887662211844047,0.23750000000000002,0.001516097026639557,0.14792984152376837
12,5,2,0.1,2.0,0.028877252296204962,0.23750000000000002,0.0015159445064966267,0.1479304411975043
12,5,2,0.08,1.5,0.02887776358765428,0.23750000000000002,0.0015160163151521802,0.14793096685068471
12,5,2,0.1,1.5,0.02887890478053078,0.23750000000000002,0.001515935609693398,0.14793209190246948
12,6,2,0.06,3.0,0.02887998426474863,0.23750000000000002,0.0015133521065626104,0.14793265468606115
12,6,2,0.08,3.0,0.028881113180872185,0.23750000000000002,0.0015132720150106403,0.1479337675838743
12,6,2,0.1,3.0,0.028882241829592314,0.23750000000000002,0.0015131919296892946,0.1479348802155302
12,6,2,0.06,2.0,0.02888312342290598,0.23750000000000002,0.001513324751144045,0.1479357883731348
12,6,2,0.08,2.0,0.02888425869355615,0.23750000000000002,0.0015132447128740863,0.14793690763613096
12,6,2,0.06,1.5,0.02888475832830421,0.23750000000000002,0.0015133138323510415,0.14793742109477442
12,6,2,0.1,2.0,0.028885393691912682,0.23750000000000002,0.0015131646806401128,0.14793802662804073
12,6,2,0.08,1.5,0.028885896845150034,0.23750000000000002,0.001513233821606178,0.14793854360947128
12,6,2,0.1,1.5,0.028887035087124785,0.23750000000000002,0.001513153816795165,0.14793966585048382
12,7,2,0.06,3.0,0.028888261519850345,0.23750000000000002,0.0015105993084363863,0.14794038138153762
12,7,2,0.08,3.0,0.028889387531786014,0.23750000000000002,0.0015105199024266292,0.14794149151227134
12,7,2,0.1,3.0,0.02889051327774327,0.23750000000000002,0.00151044050255288,0.14794260137825385
12,7,2,0.06,2.0,0.02889138055362685,0.23750000000000002,0.0015105682166425076,0.14794349419695535
12,7,2,0.08,2.0,0.028892512908131513,0.23750000000000002,0.0015104888652590009,0.1479446106811833
12,7,2,0.06,1.5,0.028893004476697754,0.23750000000000002,0.0015105553655321109,0.1479451155498042
12,7,2,0.1,2.0,0.028893644991777028,0.23750000000000002,0.0015104095198176387,0.14794572689574056
12,7,2,0.08,1.5,0.028894140071861828,0.23750000000000002,0.0015104760423846628,0.14794623528033876
12,7,2,0.1,1.5,0.02889527539359346,0.23750000000000002,0.001510396725077596,0.14794735473860898
14,6,3,0.06,3.0,0.029482977683456747,0.23750000000000002,0.0014696185648380906,0.14852690139642438
14,5,3,0.06,2.0,0.02948282834253653,0.23750000000000002,0.0014715798253152263,0.14852714430759958
14,6,3,0.08,3.0,0.029483849106446382,0.23750000000000002,0.001469559940732742,0.14852776109459292
14,5,3,0.08,2.0,0.029483704923249338,0.23750000000000002,0.0014715206763478198,0.1485280090585189
14,6,3,0.1,3.0,0.029484720364418647,0.23750000000000002,0.0014695013213701258,0.14852862062869268
14,5,3,0.1,2.0,0.029484581335627858,0.23750000000000002,0.0014714616560345829,0.1485288736668348
14,5,3,0.06,1.5,0.029485629206968438,0.23750000000000002,0.0014715852333084185,0.14852994625363014
14,5,3,0.08,1.5,0.02948650756484992,0.23750000000000002,0.0014715262023753818,0.148530812805325
14,5,3,0.06,3.0,0.02947960984891389,0.23751480757758198,0.0014716163864247208,0.14853133691498985
14,5,3,0.1,1.5,0.029487385753178528,0.23750000000000002,0.0014714671761478,0.1485316791884081
14,7,3,0.06,3.0,0.029488664631036426,0.23750000000000002,0.0014676751091108617,0.1485321996528586
14,6,3,0.06,2.0,0.029488397872851006,0.23750000000000002,0.0014696220496904003,0.1485323222827891
14,7,3,0.08,3.0,0.029489534418136138,0.23750000000000002,0.0014676168691925722,0.14853305779197465
14,6,3,0.08,2.0,0.02948927280924366,0.23750000000000002,0.001469563415985252,0.14853318549244074
14,7,3,0.1,3.0,0.029490404040791514,0.23750000000000002,0.0014675586339489366,0.14853391576758132
14,6,3,0.1,2.0,0.029490147578058953,0.23750000000000002,0.001469504786953059,0.14853404853544958
14,5,3,0.08,3.0,0.029481005988397407,0.23751828907284753,0.0014715666255692471,0.14853446384993502
14,6,3,0.06,1.5,0.029491185959195178,0.2375000004556369,0.0014696263351888388,0.1485351114540514
14,6,3,0.08,1.5,0.02949206267141158,0.23750000040581135,0.0014695676962009603,0.14853597641355742
14,6,3,0.1,1.5,0.029492939214833255,0.23750000035589935,0.0014695090618522333,0.14853684120515337
14,5,3,0.1,3.0,0.02948240186786088,0.2375217692704723,0.001471517107016792,0.1485375899245004
14,7,3,0.06,2.0,0.029494060728975636,0.23750000000000002,0.0014676762165730516,0.14853759597229024
14,7,3,0.08,2.0,0.029494934032223842,0.23750000000000002,0.0014676179682985909,0.14853845762588358
14,7,3,0.1,2.0,0.029495807168640253,0.23750000000000002,0.0014675597246319857,0.14853931911356666
14,7,3,0.06,1.5,0.02949683617221333,0.2375000009853481,0.001467679276721131,0.1485403725202316
14,7,3,0.08,1.5,0.029497711249995392,0.23750000093587345,0.001467621023754808,0.14854123592268306
14,7,3,0.1,1.5,0.02949858615972938,0.2375000008863085,0.0014675627753624576,0.1485420991579561
10,7,2,0.06,1.5,0.02974099904560728,0.23846542161824277,0.001467971754413814,0.14926730420561143
10,7,2,0.08,1.5,0.02974286093586645,0.23846978567345542,0.001467901389294262,0.149271334050453
10,7,2,0.1,1.5,0.029744722374997045,0.23847414763433478,0.0014678310201595565,0.14927536239619632
10,6,2,0.06,1.5,0.02974148741003687,0.23852030555972542,0.0014707954572983045,0.14929579928135925
10,6,2,0.08,1.5,0.029743352926804047,0.23852466217723683,0.0014707242457039518,0.14929982886456325
10,6,2,0.1,1.5,0.029745217989813347,0.2385290166996976,0.0014706530301806004,0.14930385694569825
10,5,2,0.06,1.5,0.029742300882077584,0.23857602463468627,0.001473644121840672,0.14932504202378885
10,5,2,0.08,1.5,0.0297441700607576,0.23858037365531018,0.0014735720994346348,0.14932907130829962
10,5,2,0.1,1.5,0.029746038782986886,0.23858472058012184,0.0014735000732305872,0.14933309908769393
10,7,2,0.06,2.0,0.029783793196209496,0.23876095260927105,0.0014687780596806465,0.14945802511278114
10,7,2,0.08,2.0,0.029785641417048182,0.23876517751192153,0.0014687070551073218,0.1494619715840304
10,7,2,0.1,2.0,0.02978748919564497,0.23876940043559663,0.0014686360470805822,0.1494659166228594
10,6,2,0.06,2.0,0.029784317375842275,0.23881546142195498,0.0014715994332581933,0.1494863679734714
10,6,2,0.08,2.0,0.029786169200489623,0.23881967903226406,0.0014715275806716627,0.14949031423275597
10,6,2,0.1,2.0,0.029788020580277273,0.23882389466280274,0.0014714557247209497,0.14949425905662284
10,5,2,0.06,2.0,0.029785167611251887,0.23887079989002005,0.0014744457236152073,0.14951545670098496
10,5,2,0.08,2.0,0.029787023074452423,0.23887501005092884,0.0014743730589034663,0.14951940271169753
10,5,2,0.1,2.0,0.029788878090112218,0.2388792182312267,0.001474300390961583,0.1495233472839179
10,7,2,0.06,3.0,0.029866834930874313,0.23932108066760205,0.0014703172106626567,0.14982143870680786
10,7,2,0.08,3.0,0.029868657574747683,0.23932505274549903,0.001470244997679714,0.14982523294703315
10,7,2,0.1,3.0,0.029870479792309754,0.23932902304501982,0.0014701727822802066,0.14982902587127572
10,6,2,0.06,3.0,0.029867429538336647,0.23937487562666496,0.0014731338520733298,0.1498494941220838
10,6,2,0.08,3.0,0.029869255741885658,0.23937884067675863,0.0014730607882161315,0.1498532882379082
10,6,2,0.1,3.0,0.02987108151652715,0.2393828039475498,0.0014729877220373598,0.14985708103470952
10,5,2,0.06,3.0,0.02986835205667291,0.2394294898714321,0.0014759753204139547,0.14987829205647174
10,5,2,0.08,3.0,0.029870181853359504,0.23943344774045708,0.0014759014420172056,0.1498820860119915
10,5,2,0.1,3.0,0.02987201121847974,0.23943740382920667,0.0014758275614386413,0.1498858786453708
12,7,3,0.06,1.5,0.030298278307632476,0.2386695049477868,0.0014317651951175304,0.14991938382054937
12,7,3,0.08,1.5,0.03029974164135142,0.23867306095846716,0.0014317141085984381,0.1499226149423047
12,7,3,0.1,1.5,0.03030120468827586,0.23867661555265926,0.0014316630203023708,0.14992584506866596
12,6,3,0.06,1.5,0.030299988080164708,0.2387146835008316,0.0014337488983136013,0.14994407961024322
12,6,3,0.08,1.5,0.030301453267021477,0.23871823357548563,0.0014336973756555185,0.1499473095298954
12,6,3,0.1,1.5,0.03030291816581816,0.23872178223402302,0.0014336458512971362,0.1499505384530891
12,5,3,0.06,1.5,0.03030193341537573,0.23876042155915644,0.001435743810070582,0.14996929295696806
12,5,3,0.08,1.5,0.03030340046298402,0.23876396558940963,0.00143569184364089,0.149972521626417
12,5,3,0.1,1.5,0.030304867221244033,0.23876750820392253,0.0014356398755896228,0.14997574929832322
12,7,3,0.06,2.0,0.030333318207805316,0.23891591301030954,0.0014323574891933965,0.15007774621079875
12,7,3,0.08,2.0,0.03033477220256613,0.2389193718365202,0.0014323060300562753,0.15008091932683748
12,7,3,0.1,2.0,0.030336225915650543,0.2389228293140558,0.001432254569409945,0.15008409148656043
12,6,3,0.06,2.0,0.0303350481767951,0.2389608244968508,0.001434339544531537,0.15010232833412682
12,6,3,0.08,2.0,0.03033650401266891,0.23896427748112986,0.0014342876490358273,0.150105500283041
12,6,3,0.1,2.0,0.03033795956560655,0.23896772911705705,0.0014342357521084067,0.15010867127455677
12,5,3,0.06,2.0,0.03033701414854516,0.23900629218198782,0.0014363327539949292,0.15012742679033808
12,5,3,0.08,2.0,0.030338471832865255,0.23900973921727095,0.0014362804145154832,0.15013059752440383
12,5,3,0.1,2.0,0.030339929232966932,0.23901318490452944,0.0014362280736838898,0.15013376729996844
14,7,4,0.06,1.5,0.03067271798561952,0.2387954808752754,0.001408650933695281,0.15035218860999627
14,7,4,0.08,1.5,0.03067392388031656,0.23879848773476933,0.0014086087105336115,0.15035488948980796
14,7,4,0.1,1.5,0.030675129576275044,0.23880149356956837,0.0014085664865595572,0.15035758965837115
14,6,4,0.06,1.5,0.030674821976799937,0.2388336761620642,0.0014102097559447536,0.15037370200902098
14,6,4,0.08,1.5,0.03067602893499919,0.23883667839676595,0.0014101672390972766,0.15037640158120164
14,6,4,0.1,1.5,0.03067723569376553,0.2388396796072644,0.0014101247214903553,0.1503791004416958
12,7,3,0.06,3.0,0.030401593298807993,0.23938667557577342,0.0014334963800671043,0.1503816303627081
12,7,3,0.08,3.0,0.030403029676081904,0.23938995540071278,0.0014334442117034602,0.150384696218779
12,7,3,0.1,3.0,0.030404465780971255,0.23939323399720264,0.0014333920423292461,0.15038776118803843
14,5,4,0.06,1.5,0.030677101606103208,0.23887226858680188,0.0014117747188980695,0.15039559084328377
14,5,4,0.08,1.5,0.030678309628183336,0.23887526612515594,0.0014117319041303804,0.1503982890715874
14,5,4,0.1,1.5,0.03067951745012663,0.23887826263980766,0.0014116890886574235,0.15040098658776194
12,6,3,0.06,3.0,0.030403363043071212,0.239431074927373,0.0014354751273106744,0.15040599553221987
12,6,3,0.08,3.0,0.030404801238030566,0.23943434908462866,0.0014354225222070888,0.15040906028478632
12,6,3,0.1,3.0,0.030406239159356446,0.2394376220136726,0.0014353699161719815,0.15041212414942717
12,5,3,0.06,3.0,0.030405369652450658,0.2394760241632115,0.0014374649216102678,0.15043087471837846
12,5,3,0.08,3.0,0.03040680967188309,0.23947929254812292,0.0014374118721561828,0.1504339383203758
12,5,3,0.1,3.0,0.030408249416411043,0.23948255970506357,0.0014373588218517135,0.15043700103331317
14,7,4,0.06,2.0,0.030702422927832658,0.23900699280880128,0.0014091089851130992,0.15048774112925592
14,7,4,0.08,2.0,0.030703622016243316,0.2390099278299234,0.0014090665155510648,0.15049039923431523
14,7,4,0.1,2.0,0.03070482090914711,0.23901286186966092,0.0014090240453278333,0.15049305665304313
14,6,4,0.06,2.0,0.03070453942847026,0.23904498992795448,0.001410666555277113,0.15050916770350292
14,6,4,0.08,2.0,0.030705739573368983,0.2390479203869682,0.001410623792031033,0.15051182452525927
14,6,4,0.1,2.0,0.03070693952206966,0.2390508498650595,0.0014105810281770193,0.15051448066023482
14,5,4,0.06,2.0,0.03070683180030613,0.23908338208218524,0.0014122302317751947,0.1505309688877538
14,5,4,0.08,2.0,0.03070803300193576,0.23908630790831165,0.001412187170617858,0.15053362439021514
14,5,4,0.1,2.0,0.03070923400666651,0.23908923275398636,0.0014121441089070882,0.1505362792054411
14,7,4,0.06,3.0,0.03076048526900306,0.23941347972651977,0.0014099940312286622,0.1507492239385087
14,7,4,0.08,3.0,0.03076167143353574,0.23941628106447968,0.0014099510898713935,0.15075180218374987
14,7,4,0.1,3.0,0.03076285740849045,0.23941908149897637,0.0014099081481367217,0.15075437978760597
14,6,4,0.06,3.0,0.030762626441604855,0.23945109470478562,0.0014115490995410662,0.15077048361390588
14,6,4,0.08,3.0,0.030763813648929075,0.23945389159803845,0.0014115058645232117,0.15077306062085294
