case,controller,rmse_ey,max_abs_ey,mean_abs_delta,final_ey
A_large_ey,PID,0.05220512093230167,0.4375,0.004376155282003002,4.09486954581406e-14
A_large_ey,MPC,0.05016267282679436,0.4375,0.0023437481603871594,3.4118971515130517e-36
A_large_ey,SAC,0.035890211911032324,0.4375,0.003793420381844044,0.0038661718153763514
A_large_ey,Hybrid,0.03639512480924334,0.4375,0.0037145456189008725,0.003823875000696394
B_large_epsi,PID,0.044552236337549886,0.33412433333333336,0.0041217854352155105,4.223906113130142e-14
B_large_epsi,MPC,0.04020411656591359,0.3185637578945154,0.002471450349481057,-1.0367287577911268e-35
B_large_epsi,SAC,0.02406296980372884,0.275,0.0036895695701241495,0.0038661787311416998
B_large_epsi,Hybrid,0.024786746091434327,0.275,0.0036607800763389774,0.0038238887176880094
C_proc_noise,PID,0.03183661125688814,0.24815130065021204,0.003829487097685594,-0.004620141819717977
C_proc_noise,MPC,0.02816025210241517,0.23780471707975445,0.0026136778714662954,-0.0033915846574167465
C_proc_noise,SAC,0.018189140671627177,0.23780471707975445,0.005601102337241173,0.0018519490785099066
C_proc_noise,Hybrid,0.018502318387181964,0.23780471707975445,0.0052521827142421726,0.0015956247042974308
D_cf_mismatch,PID,0.036252449002204465,0.25927826666666665,0.003620226044538681,-6.746947767155865e-11
D_cf_mismatch,MPC,0.030005890183693727,0.24499997703501467,0.001841556273523475,-4.764108510062581e-31
D_cf_mismatch,SAC,0.01917522395065991,0.23750000000000002,0.0034331984072923662,0.0038661899055433603
D_cf_mismatch,Hybrid,0.01970145405455259,0.23750000000000002,0.0032297517672761583,0.0038238809168467222
